mdate,NUM_CALL,IVS_EW
31JAN1996,34101,-0.002252381
29FEB1996,34555,-0.003128289
31MAR1996,37092,-0.006460614
30APR1996,37912,-0.006122712
31MAY1996,40540,-0.006009016
30JUN1996,37634,-0.00226113
31JUL1996,41949,-0.007690494
31AUG1996,42373,-0.015882388
30SEP1996,39053,-0.011093701
31OCT1996,45933,-0.007079835
30NOV1996,40530,-0.009816251
31DEC1996,42999,0.0006821903
31JAN1997,45483,-0.006295546
28FEB1997,39888,-0.003382054
31MAR1997,42865,-0.003866531
30APR1997,47854,-0.005731854
31MAY1997,46619,-0.013663958
30JUN1997,47581,-0.009127913
31JUL1997,50409,-0.00611165
31AUG1997,48540,-0.006197399
30SEP1997,48743,-0.004234922
31OCT1997,54010,-0.002055578
30NOV1997,45481,-0.000651572
31DEC1997,53051,-0.0008155
31JAN1998,48493,-0.009418772
28FEB1998,46470,-0.0103952
31MAR1998,54377,-0.008990724
30APR1998,52652,-0.005151647
31MAY1998,50867,-0.006032555
30JUN1998,56622,-0.004765965
31JUL1998,57108,-0.005563748
31AUG1998,54906,0.000465334
30SEP1998,54953,-0.003293992
31OCT1998,57489,-0.005736656
30NOV1998,52959,-0.007521769
31DEC1998,58363,0.0013433555
31JAN1999,50711,-0.002312633
28FEB1999,50697,-0.00055409
31MAR1999,61511,-0.003311726
30APR1999,56050,-0.003012834
31MAY1999,53551,-0.004737806
30JUN1999,58965,-0.00888948
31JUL1999,56061,-0.013926092
31AUG1999,58631,-0.010949367
30SEP1999,55931,-0.008891358
31OCT1999,55147,-0.010819047
30NOV1999,54650,-0.005062871
31DEC1999,56308,-0.003363976
31JAN2000,50642,0.0004672205
29FEB2000,49996,-0.004344309
31MAR2000,57009,-0.004331595
30APR2000,46950,-0.00184661
31MAY2000,53582,-0.010578246
30JUN2000,53067,-0.017231153
31JUL2000,47824,-0.011722132
31AUG2000,54008,-0.012761569
30SEP2000,46114,-0.014358371
31OCT2000,50376,-0.006538177
30NOV2000,47888,-0.00936891
31DEC2000,44748,-0.009386217
31JAN2001,47592,-0.010412052
28FEB2001,43470,-0.013312416
31MAR2001,49786,-0.012209202
30APR2001,44414,-0.015381823
31MAY2001,49105,-0.012394489
30JUN2001,46546,-0.015697709
31JUL2001,46583,-0.011508835
31AUG2001,50487,-0.011874123
30SEP2001,32222,-0.012470821
31OCT2001,49565,-0.011417736
30NOV2001,45846,-0.011499889
31DEC2001,44300,-0.009092405
31JAN2002,46784,-0.008196966
28FEB2002,42379,-0.009255043
31MAR2002,45039,-0.011756287
30APR2002,49965,-0.009800299
31MAY2002,50151,-0.008462031
30JUN2002,45598,-0.008078537
31JUL2002,49515,-0.010429433
31AUG2002,49235,-0.00919918
30SEP2002,44525,-0.01092739
31OCT2002,50500,-0.012942905
30NOV2002,44704,-0.013766074
31DEC2002,46920,-0.010201912
31JAN2003,46630,-0.011139986
28FEB2003,41724,-0.008104011
31MAR2003,45338,-0.00728457
30APR2003,44893,-0.00716978
31MAY2003,45077,-0.006584284
30JUN2003,45512,-0.003353081
31JUL2003,47664,-0.00482107
31AUG2003,45333,-0.00713775
30SEP2003,45313,-0.004192948
31OCT2003,49458,-0.003937184
30NOV2003,41211,-0.004357323
31DEC2003,48056,-0.005314706
31JAN2004,44041,-0.004885352
29FEB2004,42524,-0.00401604
31MAR2004,52095,-0.00391618
30APR2004,48070,-0.004837595
31MAY2004,46265,-0.003947542
30JUN2004,49241,-0.006624479
31JUL2004,49586,-0.004259605
31AUG2004,52118,-0.00607673
30SEP2004,49920,-0.00758602
31OCT2004,50114,-0.006796535
30NOV2004,50904,-0.008898531
31DEC2004,53883,-0.007284711
31JAN2005,49443,-0.006604327
28FEB2005,47341,-0.008034909
31MAR2005,55373,-0.007927847
30APR2005,53379,-0.00704844
31MAY2005,53581,-0.008974905
30JUN2005,56410,-0.010385937
31JUL2005,51668,-0.009120123
31AUG2005,59397,-0.007483071
30SEP2005,54710,-0.007699548
31OCT2005,54933,-0.002637247
30NOV2005,55302,-0.004689632
31DEC2005,55439,-0.006659045
31JAN2006,52986,-0.005937905
28FEB2006,50817,-0.004987503
31MAR2006,62478,-0.007865021
30APR2006,52342,-0.006295034
31MAY2006,61207,-0.004175211
30JUN2006,61586,-0.006040967
31JUL2006,56078,-0.006700932
31AUG2006,64629,-0.006498616
30SEP2006,56508,-0.00666448
31OCT2006,63565,-0.005808075
30NOV2006,61677,-0.007270391
31DEC2006,59755,-0.005302921
31JAN2007,60034,-0.00667177
28FEB2007,56881,-0.006731506
31MAR2007,65981,-0.006605292
30APR2007,60590,-0.009112086
31MAY2007,68023,-0.008531819
30JUN2007,65410,-0.007042968
31JUL2007,65553,-0.00776123
31AUG2007,71852,-0.008909782
30SEP2007,59611,-0.010304157
31OCT2007,72434,-0.009512071
30NOV2007,66549,-0.005399193
31DEC2007,63442,-0.008751628
31JAN2008,66602,-0.002654751
29FEB2008,63450,-0.007377894
31MAR2008,62952,-0.006381416
30APR2008,69202,-0.016783819
31MAY2008,66398,-0.015829087
30JUN2008,66274,-0.009504792
31JUL2008,69170,-0.013101752
31AUG2008,66159,-0.018697179
30SEP2008,65472,-0.022484552
31OCT2008,69977,-0.031712735
30NOV2008,56868,-0.01676268
31DEC2008,65413,-0.026376137
31JAN2009,59189,-0.012417933
28FEB2009,55681,-0.001578598
31MAR2009,63540,-0.017738965
30APR2009,62435,-0.024237753
31MAY2009,60547,-0.016718958
30JUN2009,67006,-0.011454224
31JUL2009,67604,-0.017323601
31AUG2009,65408,-0.014382084
30SEP2009,66114,-0.010141157
31OCT2009,69428,-0.00292338
30NOV2009,63270,-0.01151167
31DEC2009,69306,-0.010038795
31JAN2010,60179,-0.005702606
28FEB2010,60495,-0.012050218
31MAR2010,74106,-0.009912703
30APR2010,68341,-0.012213488
31MAY2010,65750,-0.00658923
30JUN2010,72160,-0.002728338
31JUL2010,68672,-0.01305132
31AUG2010,72133,-0.005979834
30SEP2010,69200,-0.015291208
31OCT2010,69596,-0.012146613
30NOV2010,70194,-0.01135578
31DEC2010,74019,-0.010396271
31JAN2011,67996,-0.010566018
28FEB2011,65232,-0.011494145
31MAR2011,79651,-0.006198553
30APR2011,69929,-0.013232284
31MAY2011,74078,-0.008047754
30JUN2011,77624,-0.008323258
31JUL2011,70675,-0.01296493
31AUG2011,80857,-0.006937246
30SEP2011,74526,-0.006499004
31OCT2011,74241,-0.020874799
30NOV2011,74487,-0.007026265
31DEC2011,74278,-0.008107067
31JAN2012,70990,-0.015288197
29FEB2012,71347,-0.009544323
31MAR2012,78639,-0.005571917
30APR2012,71286,-0.005862143
31MAY2012,78134,-0.00608673
30JUN2012,74407,-0.011025919
31JUL2012,74236,-0.008437858
31AUG2012,82131,-0.005704112
30SEP2012,68575,-0.007924201
31OCT2012,76086,-0.000956842
30NOV2012,76620,-0.004418363
31DEC2012,73158,-0.009101719
31JAN2013,77508,-0.01196889
28FEB2013,70624,-0.006714088
31MAR2013,74471,-0.010971714
30APR2013,82563,-0.011006631
31MAY2013,83512,-0.013365928
30JUN2013,76216,-0.011528814
31JUL2013,84845,-0.015191271
31AUG2013,85931,-0.008562975
30SEP2013,78860,-0.014706674
31OCT2013,91121,-0.013378911
30NOV2013,79434,-0.008742707
31DEC2013,83690,-0.007306668
31JAN2014,84380,-0.006301217
28FEB2014,76738,-0.008892759
31MAR2014,85505,-0.007683163
30APR2014,85573,-0.008401182
31MAY2014,85525,-0.009749228
30JUN2014,85981,-0.01141171
31JUL2014,90654,0.0012604875
31AUG2014,86937,-0.006943851
30SEP2014,87114,0.0036912835
31OCT2014,95050,-0.00382136
30NOV2014,78516,-0.005018701
31DEC2014,90485,0.0019126553
31JAN2015,82168,-0.002533981
28FEB2015,78170,-0.011082219
31MAR2015,90312,-0.003925576
30APR2015,86462,-0.004621641
31MAY2015,82553,-0.005646948
30JUN2015,90913,-0.00216838
31JUL2015,90547,0.0006208166
31AUG2015,86432,-0.000740701
30SEP2015,86822,0.0016226941
31OCT2015,91147,-0.01147963
30NOV2015,82810,-0.009221162
31DEC2015,93046,-0.005461013
31JAN2016,79942,-0.002206468
29FEB2016,83906,-0.010581928
31MAR2016,92767,-0.018016195
30APR2016,88581,-0.014255685
31MAY2016,88506,-0.006576743
30JUN2016,93190,-0.007208622
31JUL2016,84879,-0.013419386
31AUG2016,97523,-0.010795479
30SEP2016,88675,-0.010915171
31OCT2016,88263,-0.003787328
30NOV2016,88085,-0.013224277
31DEC2016,88140,-0.009828844
31JAN2017,83929,-0.009632664
28FEB2017,79667,-0.012535185
31MAR2017,95796,-0.005556035
30APR2017,78739,-0.008790455
31MAY2017,91123,-0.00749447
30JUN2017,91300,-0.005896731
31JUL2017,83053,-0.008302578
31AUG2017,95197,-0.003917101
30SEP2017,82959,-0.007157111
31OCT2017,91179,-0.005119662
30NOV2017,86904,0.001535441
31DEC2017,82894,0.0134542125
31JAN2018,87552,0.0090298968
28FEB2018,78851,0.016078529
31MAR2018,87509,0.0096950054
30APR2018,87486,0.0036340488
31MAY2018,92020,0.0070444464
30JUN2018,88122,0.0138177342
31JUL2018,88120,0.009482925
31AUG2018,96319,0.0061089648
30SEP2018,79636,0.0105240206
31OCT2018,96215,0.0348716907
30NOV2018,87363,0.0110479531
31DEC2018,77815,0.0090268633
31JAN2019,85954,0.002174875
28FEB2019,77679,0.0043625406
31MAR2019,85660,0.0096452454
30APR2019,85583,0.0038371113
31MAY2019,89549,0.0060675141
30JUN2019,81092,0.0073076119
31JUL2019,89452,0.0064406093
31AUG2019,89169,0.0121165429
30SEP2019,81583,0.0091767211
31OCT2019,93175,0.0110148524
30NOV2019,80713,0.0080600371
31DEC2019,84758,0.0113141353
31JAN2020,85167,0.0113175216
29FEB2020,76757,0.0178898851
31MAR2020,86150,0.0260540424
30APR2020,81850,0.0213295287
31MAY2020,79091,0.0208195754
30JUN2020,88394,0.0046003773
31JUL2020,88723,-0.00221288
31AUG2020,85630,0.0102807343
30SEP2020,86172,0.0261259646
31OCT2020,91125,0.0169533103
30NOV2020,84187,0.0121871795
31DEC2020,95185,0.0123403005
31JAN2021,83720,0.0103004735
28FEB2021,86448,0.0113822038
31MAR2021,106787,0.00531185
30APR2021,100339,0.0038086687
31MAY2021,97344,-0.004801364
30JUN2021,108237,-0.000155889
31JUL2021,105696,-0.003544327
31AUG2021,114585,-0.008982693
30SEP2021,111906,-0.002652967
31OCT2021,113048,-0.010249776
30NOV2021,113716,-0.006736665
31DEC2021,119011,-0.017131796
